# VFX v1 -> v2 API coverage map. One line per v1 endpoint.
#   STATUS  VERB  /route   # Controller.Action
# STATUS: covered | gap | omit | oos   (see tools/api_drift.py header)
# Regenerate with: python3 tools/api_drift.py genmap
# The drift gate (`check`) fails if any live v1 endpoint is missing here.

covered GET    /scapi/scv1/proveownership/{scuid}                           # SCV1Controller.ProveOwnership
covered GET    /scapi/scv1/proveownership/{scuid}/{password?}               # SCV1Controller.ProveOwnership
omit    POST   /scapi/scv1/scpassdestest                                     # SCV1Controller.SCPassDesTest
omit    POST   /scapi/scv1/scpasstest                                        # SCV1Controller.SCPassTest
omit    GET    /scapi/scv1/testdynamicnft/{id}                               # SCV1Controller.TestDynamicNFT
omit    GET    /scapi/scv1/testremove/{id}/{toaddress}                       # SCV1Controller.TestRemove
omit    GET    /scapi/scv1/transfernft/{id}/{toaddress}                      # SCV1Controller.TransferNFT
omit    GET    /scapi/scv1/transfernft/{id}/{toaddress}/{**backupurl}        # SCV1Controller.TransferNFT
omit    GET    /scapi/scv1/transfersale/{scuid}/{toaddress}/{saleamount}     # SCV1Controller.TransferSale
omit    GET    /scapi/scv1/transfersale/{scuid}/{toaddress}/{saleamount}/{**backupurl} # SCV1Controller.TransferSale
covered GET    /scapi/scv1/verifyownership/{**ownershipscript}              # SCV1Controller.VerifyOwnership
omit    GET    /scapi/scv1/{id}                                              # SCV1Controller.Get
omit    GET    /tkapi/tkv2                                                   # TKV2Controller.Get
covered GET    /tkapi/tkv2/banaddress/{scuid}/{fromaddress}/{banaddress}    # TKV2Controller.BanAddress
covered GET    /tkapi/tkv2/burntoken/{scuid}/{fromaddress}/{amount}         # TKV2Controller.BurnToken
covered GET    /tkapi/tkv2/casttokentopicvote/{scuid}/{fromaddress}/{topicuid}/{votetype} # TKV2Controller.CastTokenTopicVote
covered GET    /tkapi/tkv2/changetokencontractownership/{scuid}/{fromaddress}/{toaddress} # TKV2Controller.ChangeTokenContractOwnership
covered POST   /tkapi/tkv2/createtokentopic                                 # TKV2Controller.CreateTokenTopic
omit    GET    /tkapi/tkv2/gettokenownervotelist/{tuid}                      # TKV2Controller.GetTokenOwnerVoteList
covered GET    /tkapi/tkv2/gettokens/{scuid}/{getall}                       # TKV2Controller.GetTokens
omit    GET    /tkapi/tkv2/gettokensupdate                                   # TKV2Controller.GetTokensUpdate
omit    GET    /tkapi/tkv2/getvotebysmartcontractuid/{scuid}                 # TKV2Controller.GetVoteBySmartContractUID
omit    GET    /tkapi/tkv2/getvotebytopic/{topicuid}                         # TKV2Controller.GetVoteByTopic
omit    GET    /tkapi/tkv2/getvotesbyaddress/{fromaddress}                   # TKV2Controller.GetVotesByAddress
covered GET    /tkapi/tkv2/pausetokencontract/{scuid}/{fromaddress}         # TKV2Controller.PauseTokenContract
covered GET    /tkapi/tkv2/tokenmint/{scuid}/{fromaddress}/{amount}         # TKV2Controller.TokenMint
covered GET    /tkapi/tkv2/transfertoken/{scuid}/{fromaddress}/{toaddress}/{amount} # TKV2Controller.TransferToken
omit    GET    /txapi/txv1/createadnr/{address}/{name}                       # TXV1Controller.CreateAdnr
omit    GET    /txapi/txv1/createbeaconuploadrequest/{scuid}/{toaddress}/{**signature} # TXV1Controller.CreateBeaconUploadRequest
omit    GET    /txapi/txv1/deleteadnr/{address}                              # TXV1Controller.DeleteAdnr
omit    GET    /txapi/txv1/getaddressnonce/{address}                         # TXV1Controller.GetAddressNonce
omit    GET    /txapi/txv1/getalllocaltx                                     # TXV1Controller.GetAllLocalTX
